,level,match1,match2,match3,match4,sample,trial,run
31,Sex,f1~14-v1.tif,m2~21-v1.tif,f5~55-v1.tif,f5~510-v1.tif,m5~54-v1.tif,0.0,0.0
37,Sex,f1~15-v1.tif,m4~49-v1.tif,f3~38-v1.tif,m1~13-v1.tif,m1~16-v1.tif,1.0,0.0
35,Sex,f5~510-v1.tif,m4~49-v1.tif,m2~22-v1.tif,m2~25-v1.tif,m3~32-v1.tif,2.0,0.0
10,Family,f2~24-v1.tif,f4~44-v1.tif,m2~23-v1.tif,f5~53-v1.tif,m5~54-v1.tif,3.0,0.0
30,Sex,m4~45-v1.tif,f3~34-v1.tif,f2~23-v1.tif,f2~25-v1.tif,m2~22-v1.tif,4.0,0.0
28,Sex,f5~52-v1.tif,m3~31-v1.tif,f3~32-v1.tif,f3~38-v1.tif,m4~49-v1.tif,5.0,0.0
6,Family,m2~21-v1.tif,f4~42-v1.tif,f1~13-v1.tif,m4~49-v1.tif,f1~15-v1.tif,6.0,0.0
45,Sex,f5~55-v1.tif,f5~55-v1.tif,m3~33-v1.tif,f3~39-v1.tif,f2~25-v1.tif,7.0,0.0
44,Sex,m3~33-v1.tif,m4~44-v1.tif,m5~55-v1.tif,f5~55-v1.tif,f3~310-v1.tif,8.0,1.0
27,Sex,m4~49-v1.tif,m2~210-v1.tif,f3~32-v1.tif,f4~42-v1.tif,f5~52-v1.tif,9.0,1.0
5,Family,f5~57-v1.tif,f3~38-v1.tif,m4~46-v1.tif,f1~14-v1.tif,m1~14-v1.tif,10.0,1.0
40,Sex,m3~31-v1.tif,m1~110-v1.tif,f4~41-v1.tif,m4~46-v1.tif,m1~16-v1.tif,11.0,1.0
4,Family,m1~16-v1.tif,f4~44-v1.tif,f4~42-v1.tif,m4~41-v1.tif,f4~44-v1.tif,12.0,1.0
22,Family,m2~210-v1.tif,f3~38-v1.tif,m1~14-v1.tif,m1~13-v1.tif,f3~34-v1.tif,13.0,1.0
3,Family,m5~54-v1.tif,m1~14-v1.tif,f3~32-v1.tif,f4~41-v1.tif,m4~44-v1.tif,14.0,1.0
8,Family,f1~14-v1.tif,f3~39-v1.tif,f1~15-v1.tif,m4~45-v1.tif,m4~41-v1.tif,15.0,1.0
41,Sex,m5~55-v1.tif,m5~55-v1.tif,f1~15-v1.tif,f3~39-v1.tif,f3~310-v1.tif,16.0,2.0
20,Family,f5~510-v1.tif,f2~23-v1.tif,m2~210-v1.tif,f5~53-v1.tif,f2~24-v1.tif,17.0,2.0
16,Family,f2~24-v1.tif,f1~13-v1.tif,m4~44-v1.tif,f3~34-v1.tif,f4~44-v1.tif,18.0,2.0
29,Sex,f5~510-v1.tif,f3~32-v1.tif,m5~55-v1.tif,m5~54-v1.tif,m2~210-v1.tif,19.0,2.0
19,Family,m3~31-v1.tif,f5~57-v1.tif,f3~38-v1.tif,m3~32-v1.tif,m5~56-v1.tif,20.0,2.0
39,Sex,f3~32-v1.tif,f4~41-v1.tif,m3~32-v1.tif,m2~210-v1.tif,m4~46-v1.tif,21.0,2.0
36,Sex,m4~46-v1.tif,m2~25-v1.tif,m2~22-v1.tif,f4~41-v1.tif,m1~110-v1.tif,22.0,2.0
24,Sex,f1~15-v1.tif,m1~110-v1.tif,m2~210-v1.tif,f1~15-v1.tif,m1~16-v1.tif,23.0,2.0
23,Family,m1~13-v1.tif,m2~22-v1.tif,m2~22-v1.tif,f5~510-v1.tif,f2~25-v1.tif,24.0,3.0
13,Family,f2~24-v1.tif,f5~510-v1.tif,m4~44-v1.tif,f1~14-v1.tif,f5~57-v1.tif,25.0,3.0
21,Family,m1~11-v1.tif,m4~49-v1.tif,f3~39-v1.tif,m2~25-v1.tif,m1~110-v1.tif,26.0,3.0
33,Sex,f2~23-v1.tif,m2~21-v1.tif,m1~13-v1.tif,m1~110-v1.tif,m1~11-v1.tif,27.0,3.0
0,Family,m2~23-v1.tif,m4~41-v1.tif,m3~33-v1.tif,f1~13-v1.tif,m3~32-v1.tif,28.0,3.0
17,Family,m2~21-v1.tif,f4~44-v1.tif,f4~42-v1.tif,m1~14-v1.tif,m1~11-v1.tif,29.0,3.0
11,Family,m1~14-v1.tif,m4~41-v1.tif,f5~53-v1.tif,f5~57-v1.tif,f1~13-v1.tif,30.0,3.0
47,Sex,f3~39-v1.tif,m4~44-v1.tif,f3~39-v1.tif,m3~33-v1.tif,m4~44-v1.tif,31.0,3.0
43,Sex,m5~55-v1.tif,m3~33-v1.tif,m5~56-v1.tif,m4~46-v1.tif,f4~41-v1.tif,32.0,4.0
1,Family,f5~52-v1.tif,m2~23-v1.tif,f1~14-v1.tif,f3~310-v1.tif,f3~32-v1.tif,33.0,4.0
42,Sex,m1~16-v1.tif,f5~55-v1.tif,f3~38-v1.tif,m4~46-v1.tif,f2~23-v1.tif,34.0,4.0
9,Family,m1~14-v1.tif,f3~34-v1.tif,m2~25-v1.tif,f5~53-v1.tif,m5~54-v1.tif,35.0,4.0
25,Sex,m2~22-v1.tif,m1~11-v1.tif,m4~45-v1.tif,m4~45-v1.tif,f1~13-v1.tif,36.0,4.0
46,Sex,f3~310-v1.tif,m3~33-v1.tif,f2~25-v1.tif,m5~56-v1.tif,f2~25-v1.tif,37.0,4.0
15,Family,m3~31-v1.tif,f3~34-v1.tif,m5~55-v1.tif,f4~44-v1.tif,f5~52-v1.tif,38.0,4.0
2,Family,f2~25-v1.tif,m5~54-v1.tif,m2~25-v1.tif,m4~41-v1.tif,m2~25-v1.tif,39.0,4.0
7,Family,m2~23-v1.tif,m2~21-v1.tif,m4~41-v1.tif,f5~52-v1.tif,m2~21-v1.tif,40.0,5.0
18,Family,f5~57-v1.tif,f5~52-v1.tif,f1~13-v1.tif,f5~53-v1.tif,f5~55-v1.tif,41.0,5.0
14,Family,m1~16-v1.tif,f5~53-v1.tif,m3~32-v1.tif,m1~11-v1.tif,m1~13-v1.tif,42.0,5.0
38,Sex,m1~13-v1.tif,m3~31-v1.tif,f3~310-v1.tif,m1~110-v1.tif,f3~34-v1.tif,43.0,5.0
12,Family,f2~23-v1.tif,m4~45-v1.tif,f2~24-v1.tif,f1~14-v1.tif,m2~23-v1.tif,44.0,5.0
26,Sex,f5~57-v1.tif,m5~56-v1.tif,m5~56-v1.tif,f4~42-v1.tif,f2~24-v1.tif,45.0,5.0
34,Sex,m4~45-v1.tif,f2~23-v1.tif,m2~23-v1.tif,f3~310-v1.tif,m3~31-v1.tif,46.0,5.0
32,Sex,m5~56-v1.tif,f4~42-v1.tif,m1~11-v1.tif,f4~41-v1.tif,m3~32-v1.tif,47.0,5.0
